epoch,episode,avg_reward,success_rate,total_displacement,steps,actor_loss,critic_loss
0,0,0,0,0.0,50,-0.11524618417024612,75.0488052368164
1,1,-18.150000000000002,1.0,0.0,100,-0.07889752089977264,17.10861587524414
2,1,-18.150000000000002,1.0,0.0,150,-0.06349296867847443,30.661346435546875
3,2,-16.65,1.0,0.0,200,-0.08844359219074249,12.563923835754395
4,3,-14.149999999999999,1.0,0.0,250,-0.08778060972690582,12.523877143859863
epoch,episode,avg_reward,success_rate,total_displacement,steps,actor_loss,critic_loss
0,1,-21.150000000000002,0.0,0.0,50,-0.10271763801574707,30.259769439697266
1,2,-22.150000000000002,0.0,0.0,100,-0.09967593848705292,22.967121124267578
2,2,-22.150000000000002,0.0,0.0,150,-0.07705126702785492,44.06311798095703
3,2,-22.150000000000002,0.0,0.0,200,-0.08323368430137634,17.746837615966797
4,2,-22.150000000000002,0.0,0.0,250,-0.08165159821510315,9.995672225952148
epoch,episode,avg_reward,success_rate,total_displacement,steps,actor_loss,critic_loss
0,1,-55.14999999999999,1.0,0.0,100,-0.08420097082853317,91.4618911743164
1,4,-24.65,1.0,0.0,200,-0.08086584508419037,18.093109130859375
2,6,-23.816666666666666,1.0,0.0,300,-0.06874829530715942,17.58605194091797
3,9,-20.038888888888888,1.0,0.0,400,-0.05663887783885002,17.420427322387695
4,13,-16.150000000000002,1.0,0.0,500,-0.06293787062168121,12.786477088928223
5,17,-14.267647058823528,1.0,0.0,600,-0.07427956163883209,10.62998104095459
6,21,-12.483333333333333,1.0,0.0,700,-0.05967976152896881,4.269847393035889
7,26,-10.726923076923073,1.0,0.0,800,-0.0639411136507988,1.3816503286361694
8,30,-9.816666666666661,1.0,0.0,900,-0.06049036979675293,2.6663103103637695
9,35,-8.69285714285714,1.0,0.0,1000,-0.05557865649461746,3.0817511081695557
epoch,episode,avg_reward,success_rate,total_displacement,steps,actor_loss,critic_loss
0,2,-33.15,1.0,0.0,100,-0.08890046179294586,91.16685485839844
1,4,-24.9,1.0,0.0,200,-0.07988813519477844,25.19966697692871
2,6,-24.983333333333334,1.0,0.0,300,-0.07014790177345276,16.21941566467285
3,8,-23.025,1.0,0.0,400,-0.053512074053287506,17.47113800048828
4,11,-21.05909090909091,1.0,0.0,500,-0.06118389591574669,23.961055755615234
5,14,-20.007142857142856,1.0,0.0,600,-0.05891663581132889,23.423295974731445
6,17,-18.620588235294115,0.9411764705882353,0.0,700,-0.08203268051147461,17.34457778930664
7,20,-17.499999999999993,0.95,0.0,800,-0.05260394886136055,13.190800666809082
8,24,-15.441666666666668,0.875,0.0,900,-0.05810727924108505,8.307743072509766
9,29,-13.391379310344824,0.896551724137931,0,1000,-0.060867466032505035,2.687835693359375
10,34,-11.79705882352941,0.8823529411764706,0.0,1100,-0.05955043435096741,2.5414657592773438
11,39,-10.380769230769225,0.8717948717948718,0.0,1200,-0.060329876840114594,1.7023348808288574
12,44,-9.149999999999999,0.8863636363636364,0.0,1300,-0.05085800960659981,1.896002173423767
13,50,-7.889999999999998,0.88,0.0,1400,-0.044028718024492264,1.2789745330810547
epoch,episode,avg_reward,success_rate,total_displacement,steps,actor_loss,critic_loss
0,1,-46.15,1.0,0.0,100,-0.06967184692621231,84.92735290527344
1,2,-49.65,1.0,0.0,200,-0.06569831818342209,68.14820098876953
2,3,-40.483333333333334,1.0,0.0,300,-0.06035318970680237,42.211673736572266
3,5,-33.75,1.0,0.0,400,-0.07086850702762604,21.597064971923828
4,8,-25.775,1.0,0.0,500,-0.07215247303247452,25.11959457397461
5,10,-23.65,1.0,0.0,600,-0.06703520566225052,38.89641189575195
6,13,-20.842307692307692,1.0,0.0,700,-0.06213076412677765,24.39469337463379
7,17,-17.914705882352937,1.0,0.0,800,-0.0841912180185318,14.736369132995605
8,21,-15.578571428571422,1.0,0.0,900,-0.045526452362537384,7.164287090301514
9,25,-13.989999999999995,1.0,0.0,1000,-0.05691562220454216,3.602976083755493
10,30,-12.016666666666659,1.0,0.0,1100,-0.04713261127471924,3.169530153274536
11,35,-10.435714285714283,1.0,0.0,1200,-0.06865260750055313,0.8063452243804932
epoch,episode,avg_reward,success_rate,total_displacement,steps,actor_loss,critic_loss
0,2,-23.650000000000002,1.0,0.0,100,-0.08599266409873962,41.95692443847656
1,4,-21.900000000000002,1.0,0.0,200,-0.09477338939905167,33.72773742675781
2,7,-19.00714285714286,1.0,0.0,300,-0.06817547976970673,11.025800704956055
3,9,-19.705555555555556,1.0,0.0,400,-0.0756569430232048,21.20085334777832
4,12,-17.900000000000002,1.0,0.0,500,-0.05774546414613724,23.84033966064453
